author,company
Austin Jones,Paste Magazine
Nathan Hermanson,video games are good
Nicole Carpenter,Polygon
Rubén Manzanares,33bits
Kenzie Du,KeenGamer
Kim Snaith,GameSpew
Kwangseok Park,INVEN
James Bentley,TechRaptor
Jonathan Leo,Kakuchopurei
Toni Soininen,Fintendo
Jeffrey L. Wilson,PCMag
Gary Sheppard,GameGrin
"Kyle Movius,Elisha Deogracias",GamingTrend
Álvaro Oliveira Almeida,Lokoo Reviews
Parham Aghakhani,Pardis Game
Nicholas Leon,Gaming Nexus
Francis DiPersio,Hey Poor Player
Chris Jecks,GameWatcher
O'Dell Harmon Jr.,The Game Fanatics
Andy Kelly,PC Gamer
نواف النغموش,Saudi Gamer
Nathaniel Smyth,Entertainment Buddha
Richard Dobson,TheXboxHub
Brandon Orselli,Niche Gamer
Joseph Choi,Too Much Gaming
Clarice Kehoe,Respawning
Danreb Victorio,SmashPad
Matthew Zimmari,Press Start
Angus Deacon,NZGamer
Ollie Barder,Forbes
Gareth Harmer,GameSpace
Russell Collom,Optional Extra
Daniel Stroński,NEOsite
Dean James,Geek Culture Podcast
Ivan Nikolai Barkow Castilho,PSX Brasil
Gabriel Jones,Cubed3
Yagmur Sevinc,GamesCreed
Donovan Erskine,Shacknews
Alan Strawbridge,PlayStation Universe
Graham Banas,Push Square
Heidi Hawes,WayTooManyGames
Patrick Schmees,Cat with Monocle
Achi Ikeda,Nintendojo
Mauro Ferrante,IGN Italy
Yvonne van Geloven,LadiesGamers.com
Mitch Gardner,Doublejump
Raoni Mendes Pinheiro,Nintendo Blast
Chan Khee Hoon,GameSpot
Trevor Gould,Pure Nintendo
Ari Sadler,Unboxed
Heather Johnson,Hey Poor Player
Jose Antonio Calvo Ceniceros,33bits
Christian Donlan,Eurogamer
Marta Trivi,AnaitGames
Kevin Mersereau,Destructoid
Tom Baines,Thumbsticks
Se Yun Jeon,INVEN
Philip Watson,CGMagazine
Neal Chandran,RPG Fan
Alejandro Serrador,Generación Xbox
Joseph Repko,Lords Of Gaming 
Matt Sainsbury,Digitally Downloaded
Biagio Etna,IGN Italy
Sarah Fields,Game Rant
Charlie Kelly,Checkpoint Gaming
Jonathan Laurin,Geeks & Com
Jenni Lada,Siliconera
Samantha Lienhard,MonsterVine
Aaron Price,WayTooManyGames
Stephan Adamus,COGconnected
Ricky Berg,Nintendo Wire
Ed McGlone,Twinfinite
Steven Rollins,Nintendo Enthusiast
Kate Gray,Nintendo Life
Kurtis Seid,NoobFeed
Nirav Gandhi,TechRaptor
José Viana,PSX Brasil
Brett Posner-Ferdman,Push Square
Lawrence Le,GamingTrend
Carli Velocci,Windows Central
Scarlet Bell,GBAtemp
Oisin Kuhnke,JumpCut PLAY
Sina Golabzade,Bazimag
Tom Steel,The Game Crater
Michael McCann,Cubed3
Víctor Rosas,LevelUp
Michael Fontanini,oprainfall
Mohammad Hossein Jafari,Zoomg
Callum Rakestraw,Entertainium
Anna Saurman Brown,NintendoWorldReport
Juan Lorente,Generación Xbox
Evan Norris,VGChartz
Abbi Ruggles,The Digital Fix
Александр Бабулин,3DNews
Hector Ramirez II ,Lords Of Gaming 
Leonardo Cidreira,PSX Brasil
Pieter Jasper,XboxEra
Francesco Corica,Spaziogames
Kyle Vaughn,Level Down Games
Daniel Rubio,NaviGames
Keenan McCall,Twinfinite
Alexia Weiss,Checkpoint Gaming
Derrick Pittman,But Why Tho?
Nicola Ardron,God is a Geek
Cody Peterson,TechRaptor
Jay Kittelson,Nintendo Times
Jason Brown,Nintendo Life
Łukasz Ankudo,Pixelophobia
Alberto Rocha,Generación Xbox
Kamil Dyszewski,PushStartPlay
Adam J. Ramsey,Push Square
Robert Workman,GameCrate
Tom Sykes,GamesRadar+
Eric Hall,We Got This Covered
Steven Messner,CGMagazine
Jeb Haught,Game Revolution
David Roberts,GamingTrend
Paulmichael Contreras,PlayStation LifeStyle
Bob Mackey,USgamer
Justin Celani,ZTGD
Mikhail Madnani,God is a Geek
Will Robinson,PlayStation Universe
Conrad Reyners,Gameplanet
Stephanie Carmichael,G4@Syfygames
Martin Segarra,Gamers FTW
Cory Wells,Examiner
Autumn Fish,GameSkinny
Mukul Gupta,Game Debate
James Marshall,The Digital Fix
Michael Thomsen,Washington Post
Paul King,Kill Screen
Anthony John Agnello,The A.V. Club
Andrei Dobra,Softpedia
Jed Pressgrove,Paste Magazine
David Will,New Game Network
Adam Standing,GameWatcher
Billy Clarke,GameGrin
Mario Petillo,Spaziogames
Robert Fenner,RPG Fan
William Main,Readers Gambit
Andrew Hayward,Polygon
Brandin Tyrrel,IGN
Craig Shields,Pause Resume
Kaisernik,Red Value Gaming
Henrique Pereira,FNintendo
Bryan Calhoun,CGMagazine
Alan Jones,Quillstreak
Harrison Milfeld,Pure Nintendo
Az Elias,Cubed3
Jared Rosenberg,NintendoWorldReport
Paul Murphy,Switch Player
Greg Bargas,Nintendo Enthusiast
Ryan Janes,Nintendo Insider
Paul Collett,FingerGuns
Michael Goroff,EGM
Álvaro Giménez,Areajugones
Dave Aubrey,Wccftech
Jordan Ramée,Twinfinite
Nick Gillham,God is a Geek
Damien McFerran,Nintendo Life
Shaun Munro,Flickering Myth
Peter Brown,GameSpot
Greg Hart,Tiny Spaceship
Daniel Palička,SomHráč.sk
Paul Shemmell,ShemWorld
Amirhossein Dehnavi,Gamefa
Wh1plash96,Rectify Gaming
Charl den Dulk,Suitably Bored
Liam Croft,Push Square
Leo Stevenson,Stevivor
Gianluca Loggia,IGN Italy
Boomstick Alex,Boomstick Gaming
Jack Gash,Gamers FTW
Steve Murray,et geekera
Jamie Parry-Bruce,GameSpew
Marcus Estrada,G4@Syfygames
Mary Billington,Video Chums
Austin Adamson,MonsterVine
Rob Keyes,Screen Rant
Phil Hornshaw,Digital Trends
Matt Paprocki,GameSkinny
Robert Workman,Marooners' Rock
Liam Martin,Digital Spy
Simon Parkin,Guardian
Alexander Kriss,Kill Screen
Clinton Bowman-Christie,The Outerhaven Productions
Spencer Campbell,EGM
Ben Allan,Gameplanet
Ryan Jones,TrustedReviews
Kevin Groves,Operation Sports
Matthew Buzzi,PCMag
Javier Gutierrez Bassols,Generación Xbox
Eric Fernández,NaviGames
Alix Dulac,Gameblog
Oguz Erdogan,Oyungezer Online
Rich Edmonds,Windows Central
Tom Hoggins,Telegraph
Rick Lane,"Rock, Paper, Shotgun"
Gianluca Arena,Spaziogames
Ernesto Olicón,Atomix
Euyen Esquefa Pons,33bits
Gabriele Barducci,The Games Machine
James Law,Gfinity
Matúš Štrba,SECTOR.sk
Aran Suddi,TheSixthAxis
Seungjin Kang,INVEN
Ashley Hobley,Explosion Network
Ford James,GGRecon
Bob van der Laan,XGN.nl
Curtis Russell,Sports Gamers Online
Álvaro Hernandez,Areajugones
Raffaello Rusconi,Everyeye.it
Jay Jaffa,Metro GameCentral
Davide Mancini,IGN Italy
Jordan Forward,PCGamesN
Chris Tapsell,Eurogamer
Matt Killeen,PC Gamer
Jason Flatt,But Why Tho?
Danial Dehghani,Pixel Arts
Justin Prinsloo,Cubed3
Oscar Garcia Mompean,NoesPaisparaFrikis
Marco Ravetto,The Games Machine
Stephen Wilds,Cultured Vultures
Josh Shoup,GamePitt
Rossko Keniston,FingerGuns
John-Paul Jones,PlayStation Universe
Seb Hawden,SquareXO
Francisco Maia,PSX Brasil
Stephen Tailby,Push Square
Pedro Mesquita,FNintendo
David Infante,Nerfeados
Jesús Díaz-Suelto Berrueco,33bits
Robert Scarpinito,GameLuster
David Valero,NoesPaisparaFrikis
Patrice Naderi,Cerealkillerz
Patrick Landry,Real Game Media
Nate Hohl,GameCrate
Zack Palm,GameSkinny
Andrea Fontanesi,Everyeye.it
Casey Gibson,NintendoWorldReport
Ashley Gill,GameSkinny
Tommy Daniels,DarkZero
David Shimomura,Kill Screen
Marcus Jones,SelectButton
Simon Fitzgerald,Push Square
Alexander Chatziioannou,Hardcore Gamer
George Umbarger,Pixel Dynamo
Daniel Tack,Game Informer
Chloi Rad,IGN
Edwin Evans-Thirlwell,PC Gamer
James Slack,The Game Fanatics
David Jenkins,Metro GameCentral
Jeffrey Matulef,Eurogamer
John Walker,"Rock, Paper, Shotgun"
Andrei Dumitrescu,Softpedia
Alireza Abroshan,Pardis Game
Fernando Sánchez,33bits
Kevin Hunt,Tiny Spaceship
Zoey Hughes,Gaming Masters
Andrew Todd,Birth. Movies. Death.
Jason Stettner,Gamerheadquarters
Matt Mirkovich,Gaming Nexus
Brennan Dyal,DualShockers
Ken McKown,ZTGD
Dae Jim,Life is Xbox
Bob Fekete,Player.One
William Schwartz,Attack of the Fanboy
Stacey Knowles,Xbox One UK
Jason Scott,Gamestyle
Fardin Bagherian,BaziCenter
Jed Whitaker,CGMagazine
Jason Faulkner,G4@Syfygames
Darren Carle,The Skinny
Dan Solberg,Kill Screen
Joanna Nelius,OnlySP
Francesco De Meo,Wccftech
Carlos Chism,gameranx
Akhil Arora,Gadgets 360
Richard Moss,"Rock, Paper, Shotgun"
Ben Thomas,New Game Network
Mark Brown,Critical Hit
Clarissa Witt,Respawning
Daniel New,Thumbsticks
احسان محمدی,BaziCenter
